year;month;ff4_hf;sp500_hf;us_rgdp;us_gdpdef;gs1;logsp500;ebpnew
2011;10;0.0;0.0;456.285541115885;542.384808899525;0.11;709.607547457949;3.22
2011;11;0.01;-0.143897687;456.276881991693;542.569423387574;0.11;711.185463531765;3.12
2011;12;0.0;-0.701025627;456.806108181849;542.593191411771;0.12;712.554050005166;3.27
2012;1;-0.005;0.303645269;457.400763843423;542.865240627497;0.12;717.056559779875;3.26
2012;2;0.0;0.0;457.721814221852;543.078757131184;0.16;720.970261697796;3.17
2012;3;0.0;-0.001807645;457.202696739484;543.287885344324;0.19;723.651211400564;3.06
2012;4;0.0;-0.027411885;457.919472590062;543.453826420931;0.18;723.448737694397;3.14
2012;5;0.0;0.0;458.150127423717;543.246794243903;0.19;720.137220529692;3.27
2012;6;0.01;-0.034715426;458.15565660757;543.164123764146;0.19;718.801991010606;3.4
2012;7;0.0;0.0;458.365335027584;543.193000587196;0.19;721.507820093889;3.35
2012;8;0.005;-0.147822873;457.936507980614;543.772272361508;0.18;724.668876994469;3.23
2012;9;0.02;0.617526623;457.863111975091;544.248264347854;0.18;727.47705767151;3.12
2012;10;0.0;0.003180594;458.20990830401;544.517580823294;0.18;727.088335659352;2.84
2012;11;0.0;0.0;458.576002166824;544.349505205886;0.18;724.029837807087;2.86
2012;12;0.0;0.394267739;458.812676856884;544.337396312321;0.16;726.002352768597;2.91
2013;1;0.005;-0.071348453;458.837188119219;544.535279288969;0.15;730.0067600512;2.82
2013;2;0.0;0.0;459.303788637152;545.076803073865;0.16;732.139356217945;2.86
2013;3;0.005;0.10857275;459.705837402285;544.79521507647;0.15;734.654555046393;2.9
2013;4;0.0;0.0;459.619502949781;544.586198863036;0.12;735.927665884899;2.83
2013;5;-0.005;0.175040212;459.697570273192;544.627605838115;0.12;740.235395508325;2.8
2013;6;0.0;-0.059700769;459.904848656304;544.86536379031;0.14;738.942188058388;2.89
2013;7;0.0;-0.040835289;459.594173451729;545.06091768903;0.12;741.978817370319;2.74
2013;8;0.0;0.0;460.170719675642;545.299362252167;0.13;742.063279617424;2.69
2013;9;0.0;1.007075956;460.677889132751;545.33704961878;0.12;743.080784806765;2.66
